Date,Open,High,Low,Close
2015-12-03,116.550003,116.790001,114.220001,115.199997
2015-12-04,115.290001,119.25,115.110001,119.029999
2015-12-07,118.980003,119.860001,117.809998,118.279999
2015-12-08,117.519997,118.599998,116.860001,118.230003
2015-12-09,117.639999,117.690002,115.080002,115.620003
2015-12-10,116.040001,116.940002,115.510002,116.169998
2015-12-11,115.190002,115.389999,112.849998,113.18
2015-12-14,112.18,112.68,109.790001,112.480003
2015-12-15,111.940002,112.800003,110.349998,110.489998
2015-12-16,111.07,111.989998,108.800003,111.339996
2015-12-17,112.019997,112.25,108.980003,108.980003
2015-12-18,108.910004,109.519997,105.809998,106.029999
2015-12-21,107.279999,107.370003,105.57,107.330002
2015-12-22,107.400002,107.720001,106.449997,107.230003
2015-12-23,107.269997,108.849998,107.199997,108.610001
2015-12-24,109.0,109.0,107.949997,108.029999
2015-12-28,107.589996,107.690002,106.18,106.82
2015-12-29,106.959999,109.43,106.860001,108.739998
2015-12-30,108.580002,108.699997,107.18,107.32
2015-12-31,107.010002,107.029999,104.82,105.260002
2016-01-04,102.610001,105.370003,102.0,105.349998
2016-01-05,105.75,105.849998,102.410004,102.709999
2016-01-06,100.559998,102.370003,99.870003,100.699997
2016-01-07,98.68,100.129997,96.43,96.449997
2016-01-08,98.550003,99.110001,96.760002,96.959999
2016-01-11,98.970001,99.059998,97.339996,98.529999
2016-01-12,100.550003,100.690002,98.839996,99.959999
2016-01-13,100.32,101.190002,97.300003,97.389999
2016-01-14,97.959999,100.480003,95.739998,99.519997
2016-01-15,96.199997,97.709999,95.360001,97.129997
2016-01-19,98.410004,98.650002,95.5,96.660004
2016-01-20,95.099998,98.190002,93.419998,96.790001
2016-01-21,97.059998,97.879997,94.940002,96.300003
2016-01-22,98.629997,101.459999,98.370003,101.419998
2016-01-25,101.519997,101.529999,99.209999,99.440002
2016-01-26,99.93,100.879997,98.07,99.989998
2016-01-27,96.040001,96.629997,93.339996,93.419998
2016-01-28,93.790001,94.519997,92.389999,94.089996
2016-01-29,94.790001,97.339996,94.349998,97.339996
2016-02-01,96.470001,96.709999,95.400002,96.43
2016-02-02,95.419998,96.040001,94.279999,94.480003
2016-02-03,95.0,96.839996,94.080002,96.349998
2016-02-04,95.860001,97.330002,95.190002,96.599998
2016-02-05,96.519997,96.919998,93.690002,94.019997
2016-02-08,93.129997,95.699997,93.040001,95.010002
2016-02-09,94.290001,95.940002,93.93,94.989998
2016-02-10,95.919998,96.349998,94.099998,94.269997
2016-02-11,93.790001,94.720001,92.589996,93.699997
2016-02-12,94.190002,94.5,93.010002,93.989998
2016-02-16,95.019997,96.849998,94.610001,96.639999
2016-02-17,96.669998,98.209999,96.150002,98.120003
2016-02-18,98.839996,98.889999,96.089996,96.260002
2016-02-19,96.0,96.760002,95.800003,96.040001
2016-02-22,96.309998,96.900002,95.919998,96.879997
2016-02-23,96.400002,96.5,94.550003,94.690002
2016-02-24,93.980003,96.379997,93.32,96.099998
2016-02-25,96.050003,96.760002,95.25,96.760002
2016-02-26,97.199997,98.019997,96.580002,96.910004
2016-02-29,96.860001,98.230003,96.650002,96.690002
2016-03-01,97.650002,100.769997,97.419998,100.529999
2016-03-02,100.510002,100.889999,99.639999,100.75
2016-03-03,100.580002,101.709999,100.449997,101.5
2016-03-04,102.370003,103.75,101.370003,103.010002
2016-03-07,102.389999,102.830002,100.959999,101.870003
2016-03-08,100.779999,101.760002,100.400002,101.029999
2016-03-09,101.309998,101.580002,100.269997,101.120003
2016-03-10,101.410004,102.239998,100.150002,101.169998
2016-03-11,102.239998,102.279999,101.5,102.260002
2016-03-14,101.910004,102.910004,101.779999,102.519997
2016-03-15,103.959999,105.18,103.849998,104.580002
2016-03-16,104.610001,106.309998,104.589996,105.970001
2016-03-17,105.519997,106.470001,104.959999,105.800003
2016-03-18,106.339996,106.5,105.190002,105.919998
2016-03-21,105.93,107.650002,105.139999,105.910004
2016-03-22,105.25,107.290001,105.209999,106.720001
2016-03-23,106.480003,107.07,105.900002,106.129997
2016-03-24,105.470001,106.25,104.889999,105.669998
2016-03-28,106.0,106.190002,105.059998,105.190002
2016-03-29,104.889999,107.790001,104.879997,107.68
2016-03-30,108.650002,110.419998,108.599998,109.559998
2016-03-31,109.720001,109.900002,108.879997,108.989998
2016-04-01,108.779999,110.0,108.199997,109.989998
2016-04-04,110.419998,112.190002,110.269997,111.120003
2016-04-05,109.510002,110.730003,109.419998,109.809998
2016-04-06,110.230003,110.980003,109.199997,110.959999
2016-04-07,109.949997,110.419998,108.120003,108.540001
2016-04-08,108.910004,109.769997,108.169998,108.660004
2016-04-11,108.970001,110.610001,108.830002,109.019997
2016-04-12,109.339996,110.5,108.660004,110.440002
2016-04-13,110.800003,112.339996,110.800003,112.040001
2016-04-14,111.620003,112.389999,111.330002,112.099998
2016-04-15,112.110001,112.300003,109.730003,109.849998
2016-04-18,108.889999,108.949997,106.940002,107.480003
2016-04-19,107.879997,108.0,106.230003,106.910004
2016-04-20,106.639999,108.089996,106.059998,107.129997
2016-04-21,106.93,106.93,105.519997,105.970001
2016-04-22,105.010002,106.480003,104.620003,105.68
2016-04-25,105.0,105.650002,104.510002,105.080002
2016-04-26,103.910004,105.300003,103.910004,104.349998
2016-04-27,96.0,98.709999,95.68,97.82
2016-04-28,97.610001,97.879997,94.25,94.830002
2016-04-29,93.989998,94.720001,92.510002,93.739998
2016-05-02,93.970001,94.080002,92.400002,93.639999
2016-05-03,94.199997,95.739998,93.68,95.18
2016-05-04,95.199997,95.900002,93.82,94.190002
2016-05-05,94.0,94.07,92.68,93.239998
2016-05-06,93.370003,93.449997,91.849998,92.720001
2016-05-09,93.0,93.769997,92.589996,92.790001
2016-05-10,93.330002,93.57,92.110001,93.419998
2016-05-11,93.480003,93.57,92.459999,92.510002
2016-05-12,92.720001,92.779999,89.470001,90.339996
2016-05-13,90.0,91.669998,90.0,90.519997
2016-05-16,92.389999,94.389999,91.650002,93.879997
2016-05-17,94.550003,94.699997,93.010002,93.489998
2016-05-18,94.160004,95.209999,93.889999,94.559998
2016-05-19,94.639999,94.639999,93.57,94.199997
2016-05-20,94.639999,95.43,94.519997,95.220001
2016-05-23,95.870003,97.190002,95.669998,96.43
2016-05-24,97.220001,98.089996,96.839996,97.900002
2016-05-25,98.669998,99.739998,98.110001,99.620003
2016-05-26,99.68,100.730003,98.639999,100.410004
2016-05-27,99.440002,100.470001,99.25,100.349998
2016-05-31,99.599998,100.400002,98.82,99.860001
2016-06-01,99.019997,99.540001,98.330002,98.459999
2016-06-02,97.599998,97.839996,96.629997,97.720001
2016-06-03,97.790001,98.269997,97.449997,97.919998
2016-06-06,97.989998,101.889999,97.550003,98.629997
2016-06-07,99.25,99.870003,98.959999,99.029999
2016-06-08,99.019997,99.559998,98.68,98.940002
2016-06-09,98.5,99.989998,98.459999,99.650002
2016-06-10,98.529999,99.349998,98.480003,98.830002
2016-06-13,98.690002,99.120003,97.099998,97.339996
2016-06-14,97.32,98.480003,96.75,97.459999
2016-06-15,97.82,98.410004,97.029999,97.139999
2016-06-16,96.449997,97.75,96.07,97.550003
2016-06-17,96.620003,96.650002,95.300003,95.330002
2016-06-20,96.0,96.57,95.029999,95.099998
2016-06-21,94.940002,96.349998,94.68,95.910004
2016-06-22,96.25,96.889999,95.349998,95.550003
2016-06-23,95.940002,96.290001,95.25,96.099998
2016-06-24,92.910004,94.660004,92.650002,93.400002
2016-06-27,93.0,93.050003,91.5,92.040001
2016-06-28,92.900002,93.660004,92.139999,93.589996
2016-06-29,93.970001,94.550003,93.629997,94.400002
2016-06-30,94.440002,95.769997,94.300003,95.599998
2016-07-01,95.489998,96.470001,95.330002,95.889999
2016-07-05,95.389999,95.400002,94.459999,94.989998
2016-07-06,94.599998,95.660004,94.370003,95.529999
2016-07-07,95.699997,96.5,95.620003,95.940002
2016-07-08,96.489998,96.889999,96.050003,96.68
2016-07-11,96.75,97.650002,96.730003,96.980003
2016-07-12,97.169998,97.699997,97.120003,97.419998
2016-07-13,97.410004,97.669998,96.839996,96.870003
2016-07-14,97.389999,98.989998,97.32,98.790001
2016-07-15,98.919998,99.300003,98.5,98.779999
2016-07-18,98.699997,100.129997,98.599998,99.830002
2016-07-19,99.559998,100.0,99.339996,99.870003
2016-07-20,100.0,100.459999,99.739998,99.959999
2016-07-21,99.830002,101.0,99.129997,99.43
2016-07-22,99.260002,99.300003,98.309998,98.660004
2016-07-25,98.25,98.839996,96.919998,97.339996
2016-07-26,96.82,97.970001,96.419998,96.669998
2016-07-27,104.269997,104.349998,102.75,102.949997
2016-07-28,102.830002,104.449997,102.82,104.339996
2016-07-29,104.190002,104.550003,103.68,104.209999
2016-08-01,104.410004,106.150002,104.410004,106.050003
2016-08-02,106.050003,106.07,104.0,104.480003
2016-08-03,104.809998,105.839996,104.769997,105.790001
2016-08-04,105.580002,106.0,105.279999,105.870003
2016-08-05,106.269997,107.650002,106.18,107.480003
2016-08-08,107.519997,108.370003,107.160004,108.370003
2016-08-09,108.230003,108.940002,108.010002,108.809998
2016-08-10,108.709999,108.900002,107.760002,108.0
2016-08-11,108.519997,108.93,107.849998,107.93
2016-08-12,107.779999,108.440002,107.779999,108.18
2016-08-15,108.139999,109.540001,108.080002,109.480003
2016-08-16,109.629997,110.230003,109.209999,109.379997
2016-08-17,109.099998,109.370003,108.339996,109.220001
2016-08-18,109.230003,109.599998,109.019997,109.080002
2016-08-19,108.769997,109.690002,108.360001,109.360001
2016-08-22,108.860001,109.099998,107.849998,108.510002
2016-08-23,108.589996,109.32,108.529999,108.849998
2016-08-24,108.57,108.75,107.68,108.029999
2016-08-25,107.389999,107.879997,106.68,107.57
2016-08-26,107.410004,107.949997,106.309998,106.940002
2016-08-29,106.620003,107.440002,106.290001,106.82
2016-08-30,105.800003,106.5,105.5,106.0
2016-08-31,105.660004,106.57,105.639999,106.099998
2016-09-01,106.139999,106.800003,105.620003,106.730003
2016-09-02,107.699997,108.0,106.82,107.730003
2016-09-06,107.900002,108.300003,107.510002,107.699997
2016-09-07,107.830002,108.760002,107.07,108.360001
2016-09-08,107.25,107.269997,105.239998,105.519997
2016-09-09,104.639999,105.720001,103.129997,103.129997
2016-09-12,102.650002,105.720001,102.529999,105.440002
2016-09-13,107.510002,108.790001,107.239998,107.949997
2016-09-14,108.730003,113.029999,108.599998,111.769997
2016-09-15,113.860001,115.730003,113.489998,115.57
2016-09-16,115.120003,116.129997,114.040001,114.919998
